Date,HomeTeam,AwayTeam,FTHG,FTAG
21/08/15,Malaga,Sevilla,0,0
22/08/15,Ath Madrid,Las Palmas,1,0
22/08/15,Espanol,Getafe,1,0
22/08/15,La Coruna,Sociedad,0,0
22/08/15,Vallecano,Valencia,0,0
23/08/15,Ath Bilbao,Barcelona,0,1
23/08/15,Betis,Villarreal,1,1
23/08/15,Levante,Celta,1,2
23/08/15,Sp Gijon,Real Madrid,0,0
24/08/15,Granada,Eibar,1,3
28/08/15,Villarreal,Espanol,3,1
29/08/15,Barcelona,Malaga,1,0
29/08/15,Celta,Vallecano,3,0
29/08/15,Real Madrid,Betis,5,0
29/08/15,Sociedad,Sp Gijon,0,0
30/08/15,Eibar,Ath Bilbao,2,0
30/08/15,Getafe,Granada,1,2
30/08/15,Las Palmas,Levante,0,0
30/08/15,Sevilla,Ath Madrid,0,3
30/08/15,Valencia,La Coruna,1,1
11/09/15,Levante,Sevilla,1,1
12/09/15,Ath Madrid,Barcelona,1,2
12/09/15,Betis,Sociedad,1,0
12/09/15,Espanol,Real Madrid,0,6
12/09/15,Sp Gijon,Valencia,0,1
13/09/15,Ath Bilbao,Getafe,3,1
13/09/15,Celta,Las Palmas,3,3
13/09/15,Granada,Villarreal,1,3
13/09/15,Malaga,Eibar,0,0
14/09/15,Vallecano,La Coruna,1,3
18/09/15,Getafe,Malaga,1,0
19/09/15,Eibar,Ath Madrid,0,2
19/09/15,Real Madrid,Granada,1,0
19/09/15,Sociedad,Espanol,2,3
19/09/15,Valencia,Betis,0,0
20/09/15,Barcelona,Levante,4,1
20/09/15,La Coruna,Sp Gijon,2,3
20/09/15,Las Palmas,Vallecano,0,1
20/09/15,Sevilla,Celta,1,2
20/09/15,Villarreal,Ath Bilbao,3,1
22/09/15,Ath Madrid,Getafe,2,0
22/09/15,Espanol,Valencia,1,0
22/09/15,Granada,Sociedad,0,3
23/09/15,Ath Bilbao,Real Madrid,1,2
23/09/15,Celta,Barcelona,4,1
23/09/15,Las Palmas,Sevilla,2,0
23/09/15,Levante,Eibar,2,2
23/09/15,Malaga,Villarreal,0,1
23/09/15,Vallecano,Sp Gijon,2,1
24/09/15,Betis,La Coruna,1,2
25/09/15,Valencia,Granada,1,0
26/09/15,Barcelona,Las Palmas,2,1
26/09/15,Eibar,Celta,1,1
26/09/15,Real Madrid,Malaga,0,0
26/09/15,Sevilla,Vallecano,3,2
26/09/15,Villarreal,Ath Madrid,1,0
27/09/15,Getafe,Levante,3,0
27/09/15,La Coruna,Espanol,3,0
27/09/15,Sociedad,Ath Bilbao,0,0
27/09/15,Sp Gijon,Betis,1,2
02/10/15,Celta,Getafe,0,0
03/10/15,Espanol,Sp Gijon,1,2
03/10/15,Granada,La Coruna,1,1
03/10/15,Las Palmas,Eibar,0,2
03/10/15,Malaga,Sociedad,3,1
03/10/15,Sevilla,Barcelona,2,1
04/10/15,Ath Bilbao,Valencia,3,1
04/10/15,Ath Madrid,Real Madrid,1,1
04/10/15,Levante,Villarreal,1,0
04/10/15,Vallecano,Betis,0,2
17/10/15,Barcelona,Vallecano,5,2
17/10/15,Betis,Espanol,1,3
17/10/15,Eibar,Sevilla,1,1
17/10/15,Real Madrid,Levante,3,0
17/10/15,Valencia,Malaga,3,0
18/10/15,Getafe,Las Palmas,4,0
18/10/15,La Coruna,Ath Bilbao,2,2
18/10/15,Sociedad,Ath Madrid,0,2
18/10/15,Villarreal,Celta,1,2
19/10/15,Sp Gijon,Granada,3,3
23/10/15,Vallecano,Espanol,3,0
24/10/15,Celta,Real Madrid,1,3
24/10/15,Granada,Betis,1,1
24/10/15,Malaga,La Coruna,2,0
24/10/15,Sevilla,Getafe,5,0
25/10/15,Ath Madrid,Valencia,2,1
25/10/15,Barcelona,Eibar,3,1
25/10/15,Las Palmas,Villarreal,0,0
25/10/15,Levante,Sociedad,0,4
26/10/15,Ath Bilbao,Sp Gijon,3,0
30/10/15,La Coruna,Ath Madrid,1,1
31/10/15,Getafe,Barcelona,0,2
31/10/15,Real Madrid,Las Palmas,3,1
31/10/15,Sociedad,Celta,2,3
31/10/15,Valencia,Levante,3,0
31/10/15,Villarreal,Sevilla,2,1
01/11/15,Betis,Ath Bilbao,1,3
01/11/15,Eibar,Vallecano,1,0
