team,season,elo_start_of_season,elo_end_of_season,elo_mean_of_season
Ath Bilbao,15/16,1300.0,1364.1672650478963,1318.2061483549355
Ath Madrid,15/16,1300.0,1471.20288177535,1404.846728479278
Barcelona,15/16,1300.0,1471.9005012745552,1421.7264583821843
Betis,15/16,1300.0,1274.484694423553,1276.736553830059
Celta,15/16,1300.0,1330.994945100358,1330.4050899981455
Eibar,15/16,1300.0,1211.3986999351969,1291.261128301942
Espanol,15/16,1300.0,1257.0148478954952,1262.5300365181483
Getafe,15/16,1300.0,1211.7835734667217,1249.7807404675405
Granada,15/16,1300.0,1259.36976109406,1246.714159452677
La Coruna,15/16,1300.0,1245.3399328745782,1295.2825661806369
Las Palmas,15/16,1300.0,1268.2275440590588,1261.379276992071
Levante,15/16,1300.0,1201.1661937562226,1226.7743519923183
Malaga,15/16,1300.0,1297.6565020552152,1285.132454932104
Real Madrid,15/16,1300.0,1507.2962204804564,1400.917890863626
Sevilla,15/16,1300.0,1265.8705202102576,1318.7506575498746
Sociedad,15/16,1300.0,1293.0739410521055,1274.3910777972371
Sp Gijon,15/16,1300.0,1253.2452203305895,1243.3457430782453
Valencia,15/16,1300.0,1247.486931018747,1284.0780113448527
Vallecano,15/16,1300.0,1243.1918539619226,1249.595164573548
Villarreal,15/16,1300.0,1325.1279701876597,1359.6408385686188
Alaves,16/17,1300.0,1347.2403421302758,1309.3744888974957
Ath Bilbao,16/17,1364.1672650478963,1369.8991834289566,1362.1622380778908
Ath Madrid,16/17,1471.20288177535,1494.7878517715876,1466.085378059196
Barcelona,16/17,1471.9005012745552,1558.8652212080335,1502.761470331788
Betis,16/17,1274.484694423553,1224.5301214702183,1253.0919923393906
Celta,16/17,1330.994945100358,1245.3672269970864,1312.0629446551684
Eibar,16/17,1211.3986999351969,1285.1361659297008,1275.2420249317488
Espanol,16/17,1257.0148478954952,1320.7760223995904,1298.515513767642
Granada,16/17,1259.36976109406,1110.0692811775489,1189.5402979750977
La Coruna,16/17,1245.3399328745782,1222.1420589781508,1227.739852532433
Las Palmas,16/17,1268.2275440590588,1192.1761648890983,1267.511155672713
Leganes,16/17,1300.0,1230.9554155781009,1249.098739246222
Malaga,16/17,1297.6565020552152,1296.9731684892392,1273.109964594698
Osasuna,16/17,1300.0,1159.9210953435934,1198.1646643822955
Real Madrid,16/17,1507.2962204804564,1569.789988476426,1539.4646481388954
Sevilla,16/17,1265.8705202102576,1381.593530360268,1365.210790580753
Sociedad,16/17,1293.0739410521055,1355.4463812169367,1337.90446140039
Sp Gijon,16/17,1253.2452203305895,1206.5987601693585,1205.7969406323564
Valencia,16/17,1247.486931018747,1280.9424782172991,1245.5262099310853
Villarreal,16/17,1325.1279701876597,1390.6479205836642,1363.6115456615162
Alaves,17/18,1347.2403421302758,1306.3819907966945,1284.339356269471
Ath Bilbao,17/18,1369.8991834289566,1279.0086480044308,1330.5003233828472
Ath Madrid,17/18,1494.7878517715876,1485.1245884365023,1514.8577622524
Barcelona,17/18,1558.8652212080335,1593.7884523573096,1600.894740837973
Betis,17/18,1224.5301214702183,1336.3633758032374,1287.05268357809
Celta,17/18,1245.3672269970864,1296.5911488010986,1272.6774728829776
Eibar,17/18,1285.1361659297008,1313.425205572337,1296.8190471194594
Espanol,17/18,1320.7760223995904,1324.3002878630343,1304.106870638899
Getafe,17/18,1211.7835734667217,1323.216893290048,1270.044492722343
Girona,17/18,1300.0,1292.5404891588462,1316.0232974594717
La Coruna,17/18,1222.1420589781508,1187.6939058784064,1196.4859155925856
Las Palmas,17/18,1192.1761648890983,1110.567015444141,1163.960462441855
Leganes,17/18,1230.9554155781009,1238.0321630018675,1254.8394619884034
Levante,17/18,1201.1661937562226,1301.8908083197384,1229.673621149458
Malaga,17/18,1296.9731684892392,1133.0344420574595,1197.621585962475
Real Madrid,17/18,1569.789988476426,1510.5279878996066,1528.0231645517588
Sevilla,17/18,1381.593530360268,1359.0042543314903,1367.5488598550296
Sociedad,17/18,1355.4463812169367,1307.5033330122003,1317.8347112876688
Valencia,17/18,1280.9424782172991,1395.8578818137937,1376.4030834139826
Villarreal,17/18,1390.6479205836642,1385.366137505335,1370.5990300257188
Alaves,18/19,1306.3819907966945,1299.643612561151,1335.265078640511
Ath Bilbao,18/19,1279.0086480044308,1354.7936743413677,1321.3863760755185
Ath Madrid,18/19,1485.1245884365023,1493.9721121313985,1497.3844561845965
Barcelona,18/19,1593.7884523573096,1587.0896430592738,1589.4990807520471
Betis,18/19,1336.3633758032374,1315.1247890966808,1332.5791800548857
Celta,18/19,1296.5911488010986,1283.9667774951156,1283.5731055912513
Eibar,18/19,1313.425205572337,1323.1336364103229,1316.0393403314692
Espanol,18/19,1324.3002878630343,1373.015086221527,1324.9917281978007
Getafe,18/19,1323.216893290048,1387.7468284766464,1360.6295671034793
Girona,18/19,1292.5404891588462,1218.8480579677905,1296.432131825461
Huesca,18/19,1300.0,1264.4522668186016,1251.0861314571011
Leganes,18/19,1238.0321630018675,1292.197663761153,1280.1752604149883
Levante,18/19,1301.8908083197384,1300.807441359781,1292.4241619150096
Real Madrid,18/19,1510.5279878996066,1427.0200569082022,1478.6772669184934
Sevilla,18/19,1359.0042543314903,1366.124224658617,1378.8318693769097
Sociedad,18/19,1307.5033330122003,1334.1702592630518,1317.3403356468823
Valencia,18/19,1395.8578818137937,1432.1897907724035,1393.3265874854155
Valladolid,18/19,1300.0,1281.8002359846232,1288.7608407089997
Vallecano,18/19,1243.1918539619226,1213.4880972150418,1227.7817423230924
Villarreal,18/19,1385.366137505335,1342.5312454267423,1325.4505805468373
Alaves,19/20,1299.643612561151,1249.263197061824,1285.8636024056318
Ath Bilbao,19/20,1354.7936743413677,1323.090652444545,1358.476733637582
Ath Madrid,19/20,1493.9721121313985,1488.8348235154672,1475.2635548116675
Barcelona,19/20,1587.0896430592738,1549.0784718587045,1558.107621894688
Betis,19/20,1315.1247890966808,1259.2660774477608,1305.9582768030405
Celta,19/20,1283.9667774951156,1267.663839462742,1270.0827298520485
Eibar,19/20,1323.1336364103229,1291.7119853814684,1292.4521206778002
Espanol,19/20,1373.015086221527,1191.5578451392903,1268.0662550893685
Getafe,19/20,1387.7468284766464,1331.4132269377535,1391.735235744299
Granada,19/20,1110.0692811775489,1314.4696657717354,1229.088284696517
Leganes,19/20,1292.197663761153,1287.8260453719374,1241.9856402121632
Levante,19/20,1300.807441359781,1314.5485679326482,1298.0407457634203
Mallorca,19/20,1300.0,1230.3356991740782,1253.5229286605615
Osasuna,19/20,1159.9210953435934,1320.4903013511844,1251.3797893805631
Real Madrid,19/20,1427.0200569082022,1548.6418051732544,1487.6611135265082
Sevilla,19/20,1366.124224658617,1452.2334893703194,1404.9830191243543
Sociedad,19/20,1334.1702592630518,1344.2731690865269,1357.1973625394023
Valencia,19/20,1432.1897907724035,1337.8142852901408,1401.3182521653937
Valladolid,19/20,1281.8002359846232,1281.560795426314,1288.4185217116667
Villarreal,19/20,1342.5312454267423,1381.2435112515057,1346.9124735306168
Alaves,20/21,1249.263197061824,1264.336067907331,1246.5664362010436
Ath Bilbao,20/21,1323.090652444545,1320.4561947046411,1317.217759985747
Ath Madrid,20/21,1488.8348235154672,1539.8917259688565,1535.7920939768985
Barcelona,20/21,1549.0784718587045,1521.9679577476309,1532.068816465007
Betis,20/21,1259.2660774477608,1401.5264734190418,1318.3216659223451
Cadiz,20/21,1300.0,1288.244842208119,1303.9764157279185
Celta,20/21,1267.663839462742,1362.9813446998744,1300.6029872674571
Eibar,20/21,1291.7119853814684,1213.5116781040065,1256.1655954543198
Elche,20/21,1300.0,1258.676570858443,1270.76213466563
Getafe,20/21,1331.4132269377535,1258.0071581148925,1299.064747715441
Granada,20/21,1314.4696657717354,1277.0370836166312,1319.3685041527876
Huesca,20/21,1264.4522668186016,1252.5997655970705,1247.5156669930682
Levante,20/21,1314.5485679326482,1274.4104102016204,1314.3071945748827
Osasuna,20/21,1320.4903013511844,1314.7458789096731,1300.2150866923114
Real Madrid,20/21,1548.6418051732544,1577.2318405337892,1542.3963996732853
Sevilla,20/21,1452.2334893703194,1492.9002801130418,1466.194105192597
Sociedad,20/21,1344.2731690865269,1393.0455221107525,1383.0805034687517
